COTF,Common Tody-Flycatcher
COTI,Choco Tinamou
COTO,Collared Towhee
COTR,Collared Trogon
COVI,Cozumel Vireo
COWB_UNI,Unidentified Cowbird
COWO,Cocoa Woodcreeper
COYE,Common Yellowthroat
COZT,Cozumel Thrasher
CPAK,Cuban Parakeet
CPAT,Cuban Parrot
CPEA,Common Peafowl
CPOC,Common Pochard
CPOT,Common Potoo
CPYO,Colima Pygmy-Owl
CRAU,Crested Auklet
CRBO,Crested Bobwhite
CRCA,Crested Caracara
CREA,Crested Eagle
CRGU,Crested Guan
CRHA,Crane Hawk
CRMU,Craveri's Murrelet
CRMY,Crested Myna
CROR,Crested Oropendola
CROS_UNI,Unidentified Crossbill
CROW,Crested Owl
CRPL,Common Ringed Plover
CRPO,Costa Rican Pygmy-Owl
CRQD,Crested Quail-Dove
CRSF,Crowned Slaty Flycatcher
CRSW,Costa Rican Swift
CRTH,Crissal Thrasher
CSSS,Cape Sable Seaside-Sparrow
CSSV,Chestnut-sided Shrike-Vireo
CSWA,Chestnut-sided Warbler
CTAN,Checker-throated Antwren
CTSP,Cinnamon-tailed Sparrow
CUBA,Cuban Martin
CUBH,Cuban Black-Hawk
CUBL,Cuban Blackbird
CUBM,Cuban Macaw
CUBU,Cuban Bullfinch
CUCK_UNI,Unidentified Cuckoo
CUCR,Cuban Crow
CUEM,Cuban Emerald
CUGN,Cuban Gnatcatcher
CUGR,Cuban Grassquit
CUOR,Cuban Oriole
CUPE,Cuban Pewee
CUPO,Cuban Pygmy-Owl
CUSA,Curlew Sandpiper
CUSO,Cuban Solitaire
CUTO,Cuban Tody
CUTR,Cuban Trogon
CUVI,Cuban Vireo
CVSH,Cape Verde Shearwater
CWWI,Chuck-will's-widow
DAPE,Dark Pewee
DBCU,Dark-billed Cuckoo
DBGR,Double-banded Graytail
DBJA,Dusky-backed Jacamar
DCCO,Double-crested Cormorant
DCFL,Dusky-capped Flycatcher
DEJU,Dark-eyed Junco
DEJU_UNI,Unidentified Dark-eyed Junco subspecies
DFTA,Dusky-faced Tanager
DICK,Dickcissel
DMAN,Dull-mantled Antbird
DOPI_UNI,Unidentified Dove or Pigeon
DOVE,Dovekie
DOWO,Downy Woodpecker
DSFL,Dark-sided Flycatcher
DSTK,Double-striped Thick-knee
DTKI,Double-toothed Kite
DUAN,Dusky Antbird
DUFL,Dusky Flycatcher
DUGR,Dusky Grouse
DUHU,Dusky Hummingbird
DUNI,Dusky Nightjar
DUNL,Dunlin
DUSS,Dusky Seaside-Sparrow
DUTH,Dusky Thrush
DUWA,Dusky Warbler
DWAN,Dot-winged Antwren
DWJA,Dwarf Jay
DWVI,Dwarf Vireo
EABL,Eastern Bluebird
EACT,Eastern Chat-Tanager
EADO,Eared Dove
EAGR,Eared Grebe
EAKI,Eastern Kingbird
EAME,Eastern Meadowlark
EAPH,Eastern Phoebe
EAPO,Eared Poorwill
EAQU,Eared Quetzal
EASO,Eastern Screech-Owl
EATO,Eastern Towhee
EAWP,Eastern Wood-Pewee
ECHU,Emerald-chinned Hummingbird
EHOB,Eurasian Hobby
EHOO,Eurasian Hoopoe
ELEP,Elepaio
ELEU,Elegant Euphonia
ELOW,Elf Owl
ELQU,Elegant Quail
ELTE,Elegant Tern
ELTR,Elegant Trogon
EMGO,Emperor Goose
EMTA,Emerald Tanager
EMTO,Emerald Toucanet
ERFL,Eye-ringed Flatbill
ERFR,Erckel's Francolin
ESBD,Eastern Spot-billed Duck
ESCU,Eskimo Curlew
ESPO,Eurasian Spoonbill
ETSP,Eurasian Tree Sparrow
EUBL,Eurasian Blackbird
EUBU,Eurasian Bullfinch
EUCD,Eurasian Collared-Dove
EUCO,Eurasian Coot
EUCU,Eurasian Curlew
EUDO,Eurasian Dotterel
EUFL,Euler's Flycatcher
EUGO,European Goldfinch
EUGP,European Golden-Plover
EUJA,Eurasian Jackdaw
EUKE,Eurasian Kestrel
EUOY,Eurasian Oystercatcher
EUSI,Eurasian Siskin
EUSP,European Storm-Petrel
EUST,European Starling
EUTD,European Turtle-Dove
